word,n,samp_freq
news,633,0.13391157182145125
times,235,0.04971440660038079
re,143,0.03025174529299767
open,135,0.02855933996192088
today,122,0.025809181298921093
daily,108,0.022847471969536706
reporter,95,0.020097313306536916
north,89,0.01882800930822932
south,81,0.01713560397715253
guide,74,0.015654749312460334
business,67,0.01417389464776814
usa,51,0.010789083985614555
west,44,0.009308229320922361
east,40,0.008462026655383965
ne,37,0.007827374656230167
state,37,0.007827374656230167
se,36,0.007615823989845568
standard,35,0.007404273323460969
valley,35,0.007404273323460969
county,32,0.006769621324307171
review,32,0.006769621324307171
nw,31,0.006558070657922572
sw,31,0.006558070657922572
us,30,0.006346519991537973
central,29,0.006134969325153374
co,29,0.006134969325153374
sun,28,0.005923418658768775
politics,27,0.005711867992384176
wire,26,0.0055003173259995765
world,24,0.0050772159932303785
leader,23,0.0048656653268457795
city,22,0.0046541146604611805
conservative,22,0.0046541146604611805
nc,22,0.0046541146604611805
report,22,0.0046541146604611805
american,21,0.0044425639940765815
sc,21,0.0044425639940765815
liberty,19,0.0040194626613073835
tribune,19,0.0040194626613073835
media,17,0.0035963613285381847
truth,17,0.0035963613285381847
now,16,0.0033848106621535857
record,16,0.0033848106621535857
la,15,0.0031732599957689867
gold,14,0.0029617093293843877
new,14,0.0029617093293843877
post,14,0.0029617093293843877
ec,13,0.0027501586629997883
patriot,13,0.0027501586629997883
america,12,0.0025386079966151893
blog,12,0.0025386079966151893
free,12,0.0025386079966151893
iowa,12,0.0025386079966151893
st,12,0.0025386079966151893
washington,12,0.0025386079966151893
coast,11,0.0023270573302305903
life,11,0.0023270573302305903
right,11,0.0023270573302305903
wc,11,0.0023270573302305903
georgia,10,0.0021155066638459913
kansas,10,0.0021155066638459913
lake,10,0.0021155066638459913
live,10,0.0021155066638459913
ny,10,0.0021155066638459913
opening,10,0.0021155066638459913
press,10,0.0021155066638459913
silver,10,0.0021155066638459913
tx,10,0.0021155066638459913
country,9,0.001903955997461392
freedom,9,0.001903955997461392
indiana,9,0.001903955997461392
info,9,0.001903955997461392
journal,9,0.001903955997461392
magazine,9,0.001903955997461392
missouri,9,0.001903955997461392
ohio,9,0.001903955997461392
texas,9,0.001903955997461392
wisconsin,9,0.001903955997461392
big,8,0.0016924053310767928
gazette,8,0.0016924053310767928
houston,8,0.0016924053310767928
kentucky,8,0.0016924053310767928
maine,8,0.0016924053310767928
minnesota,8,0.0016924053310767928
oklahoma,8,0.0016924053310767928
alabama,7,0.0014808546646921938
breaking,7,0.0014808546646921938
catholic,7,0.0014808546646921938
green,7,0.0014808546646921938
healthy,7,0.0014808546646921938
louisiana,7,0.0014808546646921938
mass,7,0.0014808546646921938
mexico,7,0.0014808546646921938
miss,7,0.0014808546646921938
mo,7,0.0014808546646921938
nebraska,7,0.0014808546646921938
network,7,0.0014808546646921938
planet,7,0.0014808546646921938
political,7,0.0014808546646921938
san,7,0.0014808546646921938
trump,7,0.0014808546646921938
alaska,6,0.0012693039983075946
ca,6,0.0012693039983075946
chronicle,6,0.0012693039983075946
cities,6,0.0012693039983075946
colorado,6,0.0012693039983075946
conn,6,0.0012693039983075946
empire,6,0.0012693039983075946
franklin,6,0.0012693039983075946
king,6,0.0012693039983075946
ly,6,0.0012693039983075946
mind,6,0.0012693039983075946
montana,6,0.0012693039983075946
newswire,6,0.0012693039983075946
panhandle,6,0.0012693039983075946
river,6,0.0012693039983075946
sd,6,0.0012693039983075946
sf,6,0.0012693039983075946
stl,6,0.0012693039983075946
va,6,0.0012693039983075946
wa,6,0.0012693039983075946
action,5,0.0010577533319229956
atlanta,5,0.0010577533319229956
bay,5,0.0010577533319229956
blue,5,0.0010577533319229956
center,5,0.0010577533319229956
dallas,5,0.0010577533319229956
dc,5,0.0010577533319229956
ed,5,0.0010577533319229956
