registrar,n,reg_score
godaddycom,1739,1
Other,97,0.05577918343875791
namecheap,79,0.045428407130534795
enom,46,0.02645198389879241
network solutions,35,0.020126509488211618
tucows domains,31,0.01782633697527315
dynadot,20,0.011500862564692352
fastdomain,17,0.0097757331799885
wild west domains,17,0.0097757331799885
11 ionos se,16,0.009200690051753882
pdr  dba publicdomainregistrycom,16,0.009200690051753882
namesilo,14,0.008050603795284647
turncommerce  dba namebrightcom,14,0.008050603795284647
csc orate domains,13,0.00747556066705003
cloudflare,12,0.006900517538815412
launchpad  hostgator,11,0.006325474410580794
google,10,0.005750431282346176
registercom,9,0.005175388154111559
domaincom,8,0.004600345025876941
markmonitor,8,0.004600345025876941
abovecom pty,7,0.0040253018976423235
dnc holdings,7,0.0040253018976423235
dreamhost,7,0.0040253018976423235
gandi sas,7,0.0040253018976423235
namecom,7,0.0040253018976423235
regional network information center jsc dba rucenter,7,0.0040253018976423235
firstround names,6,0.003450258769407706
tucows,6,0.003450258769407706
easydns technologies,5,0.002875215641173088
epik,5,0.002875215641173088
pair domains,5,0.002875215641173088
mmunigal mmunication,4,0.0023001725129384704
registrar of domain names regru,4,0.0023001725129384704
sea wasp,4,0.0023001725129384704
uniregistrar,4,0.0023001725129384704
123reg limited ta 123reg tag = 123reg,3,0.001725129384703853
amazon registrar,3,0.001725129384703853
csl mputer service langenbach gmbh dba jokercom,3,0.001725129384703853
gmo internet,3,0.001725129384703853
internet domain service bs,3,0.001725129384703853
keysystems gmbh,3,0.001725129384703853
savcom,3,0.001725129384703853
1api gmbh,2,0.0011500862564692352
alibaba cloud mputing beijing,2,0.0011500862564692352
chengdu west dimension digital technology,2,0.0011500862564692352
deluxe small business sales  dba aplusnet,2,0.0011500862564692352
dreamscape networks international pte,2,0.0011500862564692352
everyones internet  dba softlayer,2,0.0011500862564692352
gkgnet,2,0.0011500862564692352
godaddycom  tag = godaddy,2,0.0011500862564692352
hosting ncepts bv dba openprovider,2,0.0011500862564692352
httpswww101domaincom,2,0.0011500862564692352
instra oration pty,2,0.0011500862564692352
porkbun,2,0.0011500862564692352
psiusa  dba domain robot,2,0.0011500862564692352
r01ru,2,0.0011500862564692352
realtime register bv,2,0.0011500862564692352
rucenterru,2,0.0011500862564692352
tlds  dba srsplus,2,0.0011500862564692352
xiamen chinasource internet service ltd,2,0.0011500862564692352
10dencehispahard sl,1,5.750431282346176e-4
123reg limited,1,5.750431282346176e-4
akky una division de nic mexico,1,5.750431282346176e-4
ascio technologies  danmark  filial af ascio technologies  usa,1,5.750431282346176e-4
atak domain,1,5.750431282346176e-4
automattic,1,5.750431282346176e-4
bigrock solutions,1,5.750431282346176e-4
cv jogjacamp,1,5.750431282346176e-4
dnspod,1,5.750431282346176e-4
domainpeople,1,5.750431282346176e-4
easyspace limited,1,5.750431282346176e-4
ename technology ltd,1,5.750431282346176e-4
eranet international limited,1,5.750431282346176e-4
fasthosts internet  tag = livedomains,1,5.750431282346176e-4
go daddy domains canada,1,5.750431282346176e-4
maff,1,5.750431282346176e-4
markmonitor  ta markmonitor  tag = markmonitor,1,5.750431282346176e-4
namespro solutions,1,5.750431282346176e-4
netearth one,1,5.750431282346176e-4
netim,1,5.750431282346176e-4
new frontier,1,5.750431282346176e-4
ovh,1,5.750431282346176e-4
ownregistrar,1,5.750431282346176e-4
paragon internet group  ta tsohost tag = ukwebhosting,1,5.750431282346176e-4
rebelcom,1,5.750431282346176e-4
rucentersu,1,5.750431282346176e-4
tierranet  dba domaindiscover,1,5.750431282346176e-4
tpp wholesale pty,1,5.750431282346176e-4
wixcom,1,5.750431282346176e-4
NA,1,5.750431282346176e-4
