domain_name,registrar,whois_server,updated_date,creation_date,expiration_date,name_servers,status,emails,dnssec,name,org,address,city,state,zipcode,country
,,,,,,,,,,,,,,,,
ALTERNATIVEMEDIASYNDICATE.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-01-17 14:11:17,2014-01-23 02:33:27,2021-01-23 02:33:27,"['NS1.PARKLOGIC.COM', 'NS2.PARKLOGIC.COM', 'NS3.PARKLOGIC.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
AMERICANNEWS.COM,"Launchpad, Inc. (HostGator)",whois.launchpad.com,2020-03-07 05:28:09,2002-03-22 04:59:24,2021-03-22 03:59:24,"['GRAHAM.NS.CLOUDFLARE.COM', 'SANDY.NS.CLOUDFLARE.COM', 'graham.ns.cloudflare.com', 'sandy.ns.cloudflare.com']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,contact@privacyprotect.org,unsigned,Domain Admin,"Privacy Protect, LLC (PrivacyProtect.org)",10 Corporate Drive,Burlington,MA,01803,US
AMERICANOVERLOOK.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-05-01 13:43:45,2013-05-03 14:04:38,2021-05-03 14:04:38,"['NS1.PARKLOGIC.COM', 'NS2.PARKLOGIC.COM', 'NS3.PARKLOGIC.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
AMERICANREVIEWER.COM,Firstround Names LLC,whois.web.com,2019-11-15 13:45:29,2017-11-17 19:55:38,2020-11-17 19:55:38,"['NS1.DNSNUTS.COM', 'NS2.DNSNUTS.COM']",ok https://icann.org/epp#ok,abuse@web.com,unsigned,,,,,,,
BIGHAIRYNEWS.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-07-14 11:36:59,2004-07-14 00:00:30,2021-07-14 00:00:30,"['NS45.DOMAINCONTROL.COM', 'NS46.DOMAINCONTROL.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
BOSTONLEADER.COM,"Cloudflare, Inc.",whois.cloudflare.com,2020-08-12 18:58:52,2016-09-09 22:09:26,2021-09-09 22:09:26,"['ARAGORN.NS.CLOUDFLARE.COM', 'DEB.NS.CLOUDFLARE.COM', 'aragorn.ns.cloudflare.com', 'deb.ns.cloudflare.com']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,registrar-abuse@cloudflare.com,unsigned,DATA REDACTED,DATA REDACTED,DATA REDACTED,DATA REDACTED,Missouri,DATA REDACTED,US
CITYWORLDNEWS.COM,"GoDaddy.com, LLC",whois.godaddy.com,2019-11-26 14:42:13,2014-11-25 11:09:45,2020-11-25 11:09:45,"['NS45.DOMAINCONTROL.COM', 'NS46.DOMAINCONTROL.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC",DomainsByProxy.com,Scottsdale,Arizona,85260,US
CIVICTRIBUNE.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-03-25 06:46:34,2013-10-25 04:27:48,2020-10-25 04:27:48,"['NS1.DREAMHOST.COM', 'NS2.DREAMHOST.COM', 'NS3.DREAMHOST.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,unsigned,,,,,H? Chi Minh,,VN
CLASHDAILY.COM,"GoDaddy.com, LLC",whois.godaddy.com,2020-05-11 14:17:16,2012-05-10 23:58:03,2021-05-10 23:58:03,"['ED.NS.CLOUDFLARE.COM', 'GINA.NS.CLOUDFLARE.COM']",clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,abuse@godaddy.com,signedDelegation,,,,,Texas,,US
CONSERVATIVEBYTE.COM,"Cloudflare, Inc.",whois.cloudflare.com,2019-07-12 06:35:37,2009-03-04 21:47:29,2021-03-04 21:47:29,"['IGOR.NS.CLOUDFLARE.COM', 'JILL.NS.CLOUDFLARE.COM', 'igor.ns.cloudflare.com', 'jill.ns.cloudflare.com']",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,registrar-abuse@cloudflare.com,signedDelegation,DATA REDACTED,DATA REDACTED,DATA REDACTED,DATA REDACTED,Arizona,DATA REDACTED,US
