domain_name,ga_code
breitbart.com,UA-715222-1
nypost.com,UA-3922003-6
rt.com,UA-5773642-2
thegatewaypundit.com,UA-54260989-7
sputniknews.com,
zerohedge.com,
thesun.co.uk,UA-100401456-2
mirror.co.uk,
theblaze.com,UA-77303533-1
dailywire.com,
infowars.com,UA-6888464-2
nationalreview.com,
pjmedia.com,
redstate.com,UA-170796-2
actionnetwork.org,
godlikeproductions.com,
wnd.com,UA-54260989-7
politicususa.com,UA-9948568-5
naturalnews.com,
twitchy.com,UA-29641605-1
pravda.ru,
dailytelegraph.com.au,
oann.com,UA-98105905-1
powerlineblog.com,UA-78703-2
unz.com,UA-44309726-2
rbth.com,
freebeacon.com,
christianpost.com,
spacebattles.com,
armstrongeconomics.com,UA-65837890-1
commondreams.org,UA-19360686-1
frontpagemag.com,UA-10898519-1
thetruthseeker.co.uk,
barenakedislam.com,
breaking911.com,UA-44521557-1
jacobinmag.com,
wikileaks.org,
thebrowser.com,
voltairenet.org,UA-23914763-1
prisonplanet.com,UA-6888464-1
lifesitenews.com,UA-698266-2
nomadcapitalist.com,
veteranstoday.com,UA-4342133-17
me.me,
ecowatch.com,UA-45266517-1
ecfr.gov,
dailysignal.com,UA-1393129-44
nutritionfacts.org,
moonofalabama.org,
strategic-culture.org,
abovetopsecret.com,
projectveritas.com,
sott.net,
lewrockwell.com,
investmentwatchblog.com,UA-2133317-5
theconservativetreehouse.com,
x22report.com,UA-38744088-1
advocate.com,
fort-russ.com,UA-114398561-1
informationclearinghouse.info,
antiwar.com,
weaselzippers.us,UA-36084245-1
unofficialnetworks.com,UA-13056552-15
globalresearch.ca,UA-9062277-1
washingtonexaminer.com,UA-6608408-4
gellerreport.com,
consortiumnews.com,UA-74743733-1
fox5dc.com,
blockshopper.com,UA-5340212-60
dollarvigilante.com,UA-32998652-12
unilad.co.uk,UA-45819798-1
thepoliticalinsider.com,UA-451855-6
collective-evolution.com,
americanprogress.org,
thehardtimes.net,
alternet.org,UA-289449-1
coasttocoastam.com,UA-5666012-1
conservativereview.com,UA-52803434-1
100percentfedup.com,UA-54558322-1
healthnutnews.com,
city-journal.org,
cpsc.gov,
consciouslifenews.com,
whatdoesitmean.com,
caseyresearch.com,
pewtrusts.org,
zambianobserver.com,UA-78767758-1
nowtheendbegins.com,
libertyunyielding.com,
thetruthaboutcancer.com,
counterpunch.org,UA-56065110-1
rense.com,UA-146175827-1
charismanews.com,UA-1101388-67
theeconomiccollapseblog.com,
foodbabe.com,
goldsilver.com,
theeventchronicle.com,
teaparty.org,
ibankcoin.com,
nakedcapitalism.com,UA-42262049-1
freedomworks.org,
coinflation.com,
dissentmagazine.org,UA-2777126-1
greenmedinfo.com,UA-12674294-1
thenewamerican.com,
thefreethoughtproject.com,
filmsforaction.org,
amren.com,UA-180853994-1
countercurrents.org,UA-166669197-1
allnewspipeline.com,
canadafreepress.com,
emptywheel.net,
pix11.com,
americasfreedomfighters.com,UA-46590577-1
humansarefree.com,UA-49050267-1
zaytung.com,UA-11942895-1
sportspickle.com,UA-17901617-12
moseslaketoday.com,UA-147094394-1
clashdaily.com,UA-20997029-13
jihadwatch.org,UA-41917513-1
judicialwatch.org,UA-3032650-3
pirate4x4.com,UA-22542097-39
commentarymagazine.com,UA-525474-1
madworldnews.com,UA-43890618-1
usacarry.com,UA-273581-5
thephaser.com,
thesaker.is,
lovethispic.com,UA-6705391-17
yellowhammernews.com,UA-27918802-1
freedomoutpost.com,UA-27783617-3
henrymakow.com,UA-8158218-1
lifenews.com,
patriotpost.us,UA-11248229-1
elitereaders.com,UA-84361513-1
theduran.com,UA-77260292-1
lidblog.com,
shtfplan.com,UA-6966245-1
mintpressnews.com,UA-34787579-2
conservativefiringline.com,UA-36500669-1
off-guardian.org,
unionleader.com,UA-10016770-13
wakingtimes.com,
geopolitica.ru,UA-28520589-1
silverdoctors.com,UA-24262972-3
ronpaulinstitute.org,
elmundotoday.com,UA-4777700-2
rumormillnews.com,
activistpost.com,UA-7598856-7
blacklistednews.com,
puppetstringnews.com,
truthdig.com,UA-344431-1
thedailywtf.com,
shiftfrequency.com,UA-25974368-1
nomorefakenews.com,
citizensunited.org,
cookcountyrecord.com,UA-474105-60
endoftheamericandream.com,
evergreenreporter.com,UA-147094394-20
ilovemyfreedom.org,UA-117088940-1
louisianarecord.com,UA-15309596-1
neonnettle.com,UA-46882835-1
oathkeepers.org,
solari.com,
thecommonsenseshow.com,UA-66012202-2
theinformedamerican.net,UA-32848741-4
thepeoplescube.com,UA-6979111-1
threepercenternation.com,UA-51154138-1
trunews.com,
vdare.com,UA-18706545-2
jesus-is-savior.com,
dutchsinse.com,
trueactivist.com,UA-28083431-1
conservativedailypost.com,UA-46115570-13
educateinspirechange.org,UA-41288979-1
gloria.tv,
sovereignman.com,
marketoracle.co.uk,
netdania.com,
howafrica.com,UA-84386266-1
theshovel.com.au,UA-35107158-1
21stcenturywire.com,UA-37745304-1
alabamavotes.gov,UA-3745610-10
americanlookout.com,UA-71705037-3
attn.com,
baptistnews.com,UA-23051708-1
barnhardt.biz,
bipartisanreport.com,UA-32234117-1
clickhole.com,UA-167984105-1
conservapedia.com,
fellowshipoftheminds.com,
goldmoney.com,
goldseek.com,UA-19164917-1
halfwaypost.com,UA-122501363-3
higherperspectives.com,UA-60692302-1
hudson.org,
kingworldnews.com,UA-36134553-1
liberalamerica.org,UA-43119712-1
mainebusinessdaily.com,UA-114372942-18
newstarget.com,
newswithviews.com,UA-96112816-1
njbusinessdaily.com,UA-114372942-29
occupydemocrats.com,UA-41088929-1
patrioticviralnews.com,
paulcraigroberts.org,UA-33238678-1
redstatewatcher.com,
responsibletechnology.org,UA-8277612-1
rightwingnews.com,UA-954957-1
seattlecitywire.com,UA-147094394-8
setexasrecord.com,UA-474105-25
silnews.com,UA-89264302-25
thedailybell.com,
thefederalistpapers.org,UA-54260989-7
thenewinquiry.com,UA-27506973-1
therundownlive.com,
truepundit.com,
ufoholic.com,UA-66842686-1
uschronicle.com,UA-60237802-2
waterfordwhispersnews.com,UA-13259461-1
westernjournalism.com,UA-54260989-7
whatreallyhappened.com,
wkrg.com,UA-60088952-8
newsthump.com,UA-19340246-2
sgtreport.com,UA-116960692-1
vigilantcitizen.com,UA-8432398-2
anonhq.com,UA-52639409-1
thebeaverton.com,UA-83588851-1
corbettreport.com,
reductress.com,
southfront.org,
ahtribune.com,
ruptly.tv,
awarenessact.com,
helloforos.com,
humortimes.com,UA-1257467-1
policyreview.info,
locallabs.com,
in5d.com,UA-117514536-1
investmentresearchdynamics.com,
theracketreport.com,
bullionbullscanada.com,UA-180648346-1
thepoke.co.uk,UA-17314162-1
wearechange.org,UA-30141356-1
therightstuff.biz,
gomerblog.com,UA-42176706-1
regated.com,
worldtruth.tv,UA-32008246-1
survivopedia.com,UA-38811368-2
aikentimes.com,UA-151977672-30
aheadoftheherd.com,UA-134534551-1
washingtonsources.org,
healthy-holistic-living.com,UA-798100-1
fairus.org,
prepperwebsite.com,UA-25922122-1
trendolizer.com,
whowhatwhy.org,UA-7290738-4
newsexaminer.net,UA-113866247-1
betootaadvocate.com,UA-56468053-1
fromthetrenchesworldreport.com,UA-20459241-1
healthimpactnews.com,UA-3023235-5
revolutionradio.org,
24newsflash.com,
365usanews.com,
abcnews.com.co,
abcnewsgo.co,
abeldanger.net,
abriluno.com,
acting-man.com,
addictinginfo.org,
adobochronicles.com,
alt-market.com,
americanblog.com,
americanfreepress.net,
americannews.com,
americanoverlook.com,
americanpatriotdaily.com,UA-48987530-1
americanreviewer.com,
amplifyingglass.com,
amtvmedia.com,UA-44678535-1
amusmentic.com,
ancient-code.com,
angrypatriotmovement.com,
anonews.co,
anonnews.co,
asia-pacificresearch.com,UA-9062277-7
assassinationscience.com,
associatedmediacoverage.com,
automotostar.com,
awazetribune.com,
awdnews.com,
awm.com,UA-32737644-32
bb4sp.com,UA-53014754-10
beehivebugle.com,
bigamericannews.com,
bigbluevision.com,
bighairynews.com,
bignuggetnews.com,
bigpzone.com,
blackagendareport.com,UA-5028427-1
blackgenocide.org,
uncommonwisdomdaily.com,
bluenationreview.com,
borowitzreport.com,
bostonleader.com,UA-137569456-1
breakpoint.org,UA-9604487-6
burrardstreetjournal.com,UA-65617389-1
buzzfeedusa.com,
bvanews.com,
callthecops.net,UA-46280335-1
cap-news.com,
cbsnews.com.co,
celebtricity.com,
centerforsecuritypolicy.org,
channel-7-news.com,
checkoutthehealthyworld.com,
chicksontheright.com,UA-107716157-11
christianfightback.com,
christiantimesnewspaper.com,
christwire.org,
chronicle.su,
chroniclesmagazine.org,
cityworldnews.com,
civictribune.com,UA-158079776-1
cnnnext.com,
collectivelyconscious.net,
concisepolitics.com,UA-52447-2
conservativebyte.com,
conservativefrontline.com,
conservativehq.com,
conservativeinfidel.com,
conservativeoutfitters.com,
conservativerefocus.com,
conservativespirit.com,
conservativestate.com,
conservativetribune.com,
conspiracyplanet.com,
conspiracywire.com,
countdowntozerotime.com,
counterpsyops.com,UA-52447-2
counterpunch.com,
cowgernation.com,
creambmp.com,
crystalair.com,
dailybuzzlive.com,
dailycurrant.com,
dailydiscord.com,
dailyheadlines.com,UA-83784387-1
dailyheadlines.net,UA-51154138-2
dailyleak.org,
dailynewsbin.com,
dailynewspolitic.com,
dailyoccupation.com,UA-78964560-1
dailypolitics.info,
dailystormer.com,UA-162016741-1
dandygoat.com,UA-42098375-1
darkmoon.me,UA-19145782-1
darkpolitricks.com,
dataasylum.com,
davidduke.com,
davidstockmanscontracorner.com,UA-117498835-2
davidwolfe.com,
dcclothesline.com,UA-151632565-1
dcgazette.com,
dcleaks.com,
wordpress.co,
debunkingskeptics.com,UA-8845798-1
dennismichaellynch.com,UA-79505911-5
denverguardian.com,
departed.co,
derfmagazine.com,
deviantinvestor.com,
dineal.com,
disclose.tv,
disclosuremedia.net,
discoverthenetworks.org,UA-143445923-1
discovery.org,UA-10002389-1
doctorhousingbubble.com,
donaldtrumpnews.co,
dont-tread-on.me,
downtrend.com,
dprogram.net,
drudgereport.com.co,
duffleblog.com,
duhprogressive.com,UA-38613478-1
eaglerising.com,UA-146428081-1
ebolahoax.com,
economicnoise.com,
edgetraderplus.com,
educate-yourself.org,
electionnightgatekeepers.com,
elkoshary.com,
empireherald.com,
empirenews.net,UA-51575023-1
empiresports.co,UA-47452173-1
enabon.com,
endingthefed.com,
endtime.com,UA-10565479-2
enduringvision.com,
ruvr.ru,
eutimes.net,
ewao.com,
experimentalvaccines.org,
explosivereports.com,
extraclubmagazine.com,
eyeopening.info,
fakingnews.com,
familysecuritymatters.org,
fantasticword.com,
farmwars.info,
federalistpress.com,
financialsense.com,UA-2016895-5
firearmscoalition.org,UA-180227758-1
floridasunpost.com,
fmobserver.com,UA-5010881-5
fognews.ru,
foreignpolicyjournal.com,
fourwinds10.net,
fprnradio.com,
freedomdaily.com,
freedomforceinternational.com,
freepatriot.org,
freestateproject.org,
freewoodpost.com,
fridaymash.com,
ftmdaily.com,
fusion.net,UA-46206777-23
gainspainscapital.com,
galacticconnection.com,UA-116934775-1
gangstergovernment.com,
gatesofvienna.net,
geoengineeringwatch.org,UA-50530454-1
globaleconomicanalysis.com,
gloomboomdoom.com,
glossynews.com,
goldbroker.com,
goldcore.com,UA-9407536-1
goldsilverbitcoin.com,
goldsilverworlds.com,UA-28571379-3
golemxiv.co.uk,
goneleft.com,
gopthedailydose.com,
govtslaves.info,
greanvillepost.com,
gulagbound.com,
hangthebankers.com,UA-32898761-1
heartland.org,
domain_name,ga_code
domain_name,ga_code
media.com,
heresyblog.net,
holyobserver.com,
horowitzfreedomcenter.org,
howtovanish.com,UA-144215-8
huzlers.com,UA-46706524-1
icr.org,
blogspot.co,
greenmedinfo.co,
ihavethetruth.com,
ijr.com,UA-30128009-1
