rank,domain_name,registrar,whois_server,updated_date,creation_date,expiration_date,name_servers,dnssec,org,city,state,zipcode,country,trust
204,breitbart.com,"GoDaddy.com, LLC",whois.godaddy.com,2017-06-02T07:36:29Z,1999-03-14T05:00:00Z,2026-03-14T04:00:00Z,"['ALAN.NS.CLOUDFLARE.COM', 'SOFIA.NS.CLOUDFLARE.COM']",unsigned,"Domains By Proxy, LLC",Scottsdale,Arizona,85260,US,fake
373,nypost.com,"MarkMonitor, Inc.",whois.markmonitor.com,2020-08-27T09:22:27Z,1996-09-29T04:00:00Z,2021-09-28T04:00:00Z,"['NS-112.AWSDNS-14.COM', 'NS-1469.AWSDNS-55.ORG', 'NS-1696.AWSDNS-20.CO.UK', 'NS-670.AWSDNS-19.NET', 'ns-1696.awsdns-20.co.uk', 'ns-1469.awsdns-55.org', 'ns-112.awsdns-14.com', 'ns-670.awsdns-19.net']",unsigned,"NYP Holdings, Inc",NA,NY,NA,US,fake
406,rt.com,"Regional Network Information Center, JSC dba RU-CENTER",whois.nic.ru,2019-08-20T07:48:14Z,1991-09-23T04:00:00Z,2025-09-22T04:00:00Z,"['NS1.RTTV.RU', 'NS2.RTTV.RU', 'NS3.RTTV.RU', 'NS31.CLOUDNS.NET', 'NS32.CLOUDNS.NET', 'NS33.CLOUDNS.NET', 'NS34.CLOUDNS.NET', 'NS4.RTTV.RU', 'PNS31.CLOUDNS.NET', 'PNS32.CLOUDNS.NET', 'PNS33.CLOUDNS.NET', 'PNS34.CLOUDNS.NET', 'ns1.rttv.ru', 'ns2.rttv.ru', 'ns3.rttv.ru', 'ns31.cloudns.net', 'ns32.cloudns.net', 'ns33.cloudns.net', 'ns34.cloudns.net', 'ns4.rttv.ru', 'pns31.cloudns.net', 'pns32.cloudns.net', 'pns33.cloudns.net', 'pns34.cloudns.net']",unsigned,ANO TV-Novosti,Moscow,Moscow region,111020,RU,fake
784,thegatewaypundit.com,"GoDaddy.com, LLC",whois.godaddy.com,2020-01-27T17:16:53Z,2011-01-27T04:30:57Z,2021-01-27T04:30:57Z,"['DEB.NS.CLOUDFLARE.COM', 'NOEL.NS.CLOUDFLARE.COM']",unsigned,"Domains By Proxy, LLC",Scottsdale,Arizona,85260,US,fake
860,sputniknews.com,"Regional Network Information Center, JSC dba RU-CENTER",whois.nic.ru,2019-07-15T11:18:11Z,2011-10-24T00:15:14Z,2028-10-24T00:15:14Z,"['NS4-CLOUD.NIC.RU', 'NS4-L2.NIC.RU', 'NS7.SPUTNIKNEWS.COM', 'NS8-CLOUD.NIC.RU', 'NS8-L2.NIC.RU', 'NS8.SPUTNIKNEWS.COM', 'ns4-cloud.nic.ru', 'ns4-l2.nic.ru', 'ns7.sputniknews.com 195.93.246.187', 'ns8-cloud.nic.ru', 'ns8-l2.nic.ru', 'ns8.sputniknews.com 195.93.246.212']",unsigned,Rossiya Segodnya,Moscow,Moscow,119021,RU,fake
1194,zerohedge.com,"easyDNS Technologies, Inc.",whois.easydns.com,2019-06-05T17:38:47Z,2009-01-11T17:14:37Z,2021-01-11T17:14:37Z,"['DNS1.EASYDNS.COM', 'DNS2.EASYDNS.NET', 'DNS3.EASYDNS.ORG', 'DNS4.EASYDNS.INFO', 'dns3.easydns.org', 'dns1.easydns.com', 'dns2.easydns.net', 'dns4.easydns.info']",unsigned,ABC Media Ltd,Sofia,Sofia,1784,BG,fake
1786,thesun.co.uk,Markmonitor Inc. t/a MarkMonitor Inc. [Tag = MARKMONITOR],NA,2020-04-17T00:00:00Z,1997-05-19T00:00:00Z,2022-05-19T00:00:00Z,ns1-143.akam.net,NA,NA,NA,NA,NA,NA,fake
1869,mirror.co.uk,"CSC Corporate Domains, Inc [Tag = CSC-CORP-DOMAINS]",NA,2019-03-06T00:00:00Z,NA,2024-09-08T00:00:00Z,ns-1492.awsdns-58.org,NA,NA,NA,NA,NA,NA,fake
2105,theblaze.com,"GoDaddy.com, LLC",whois.godaddy.com,2019-11-12T05:55:53Z,2000-09-26T11:10:10Z,2021-09-26T11:10:10Z,"['NS-1205.AWSDNS-22.ORG', 'NS-1781.AWSDNS-30.CO.UK', 'NS-237.AWSDNS-29.COM', 'NS-894.AWSDNS-47.NET']",unsigned,NA,NA,NA,NA,us,fake
2437,dailywire.com,"GoDaddy.com, LLC",whois.godaddy.com,2020-06-01T19:33:07Z,1998-05-14T04:00:00Z,2025-06-03T11:59:59Z,"['BUCK.NS.CLOUDFLARE.COM', 'HOPE.NS.CLOUDFLARE.COM']",unsigned,"Domains By Proxy, LLC",Scottsdale,Arizona,85260,US,fake
3380,infowars.com,"Epik, Inc.",whois.epik.com,2020-09-02T02:00:59Z,1999-03-07T05:00:00Z,2030-03-07T05:00:00Z,"['MERLIN.NS.CLOUDFLARE.COM', 'ROBIN.NS.CLOUDFLARE.COM']",unsigned,"Anonymize, Inc.",Sammamish,WA,98074,US,fake
4767,nationalreview.com,"Network Solutions, LLC",whois.networksolutions.com,2016-03-08T20:08:28Z,1995-07-18T04:00:00Z,2021-07-17T04:00:00Z,"['ANNA.NS.CLOUDFLARE.COM', 'NORM.NS.CLOUDFLARE.COM']",unsigned,NA,NA,NA,NA,NA,fake
