rank,domain,tld,registrar,updated_date,creation_date,expiration_date,org,country,trust	,dom_split,domain_length,keyword_length	,num_nameservers,dom_age_days,dom_last_update,days_to_exp,update_to_exp
,,,,,,,,,,,,,,,,,
,,,,"[datetime.datetime(2020, 4, 17, 0, 0), datetime.datetime(2020, 10, 12, 0, 0)]","[datetime.datetime(1999, 5, 18, 0, 0), datetime.datetime(2010, 5, 20, 0, 0)]",2021-05-18 00:00:00,,BR,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,2001-08-23 00:00:00,2021-08-22 00:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"[datetime.datetime(2017, 1, 6, 0, 0), datetime.datetime(2020, 6, 2, 0, 0)]","[datetime.datetime(1996, 4, 24, 0, 0), datetime.datetime(2003, 12, 2, 0, 0)]",2023-04-24 00:00:00,,BR,,,,,,,,,
,,,,"[datetime.datetime(2018, 11, 29, 0, 0), datetime.datetime(2011, 6, 6, 0, 0)]","[datetime.datetime(1999, 5, 14, 0, 0), datetime.datetime(2002, 1, 16, 0, 0)]",2023-05-14 00:00:00,,BR,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,2021-08-16 00:59:55,,,,,,,,,,,
